Creek,Watershed,Mean_NDVI,WY
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5809000134,2005
EF NF American,American,0.7860000134,2006
Fulda,American,0.6657000184,2006
S Fk Silver,American,0.4715999961,2006
Onion,American,0.7164000273,2006
Onion V,American,0.779399991,2006
Traverse,American,0.5151000023,2006
CEDEN Monumental Creek,American,0.6884999871,2006
Lyons Cr,American,0.5281000137,2006
Jones Fork Silver Cr,American,0.6504999995,2006
American R (Middle Fork),American,0.6908000112,2006
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.6913999915,2006
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.6884999871,2006
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.5881000161,2006
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5102999806,2006
BR 10 (headwaters),Bear,0.7003999949,2006
BR 22 (Steephollow),Bear,0.6308000088,2006
BR 55 (Dry Creek Spenceville),Bear,0.3136000037,2006
Above Jackrabbit Bridge,Burney Cr,0.6256999969,2006
Cat,Cosumnes,0.7454000115,2006
Cosumnes,Cosumnes,0.7822999954,2006
Consumnes R (North Fork),Cosumnes,0.6934999824,2006
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7042999864,2006
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6552000046,2006
Below Twin Bridges CG,Hat Cr,0.6122000217,2006
Above Moose Camp,Hatchet Cr,0.6233999729,2006
Below Lassen Cr C.G.,LassenCr,0.5967000127,2006
Nelson,MF Feather,0.7814000249,2006
EF Nelson,MF Feather,0.7487000227,2006
Cascade Cr,MF Feather,0.8167999983,2006
Sulfur Cr,MF Feather,0.6255999804,2006
Jameson Cr,MF Feather,0.7698000073,2006
Onion Valley Cr,MF Feather,0.8366000056,2006
Poplar Cr,MF Feather,0.6744999886,2006
Nelson Cr,MF Feather,0.7677999735,2006
McCloud,McCloud,0.6768000126,2006
Moosehead,McCloud,0.8241999745,2006
OC 10 (Oregon Creek),Middle Yuba,0.7792999744,2006
Warner,NF Feather,0.5533999801,2006
Grassy Swale,NF Feather,0.7292000055,2006
Meadow Valley Cr,NF Feather,0.5436999798,2006
Spanish Cr,NF Feather,0.6488000154,2006
Wolf Cr,NF Feather,0.6470000148,2006
Butt Cr,NF Feather,0.6288999915,2006
Feather R (North Fork),NF Feather,0.6722999811,2006
Below Jess Valley Bridge,Pit R (South Fork),0.3486000001,2006
Butte,Sacramento,0.7282999754,2006
Willow Butte,Sacramento,0.6547999978,2006
Deer Cr,Sacramento,0.8004999757,2006
Mill Cr,Sacramento,0.6909999847,2006
Martin Cr,Sacramento,0.5170000196,2006
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.668299973,2006
Clark Fork of Stanislaus R,Stanislaus,0.5713999867,2006
Arnot Cr,Stanislaus,0.6514999866,2006
CEDEN Arnot Cr 1,Stanislaus,0.6978999972,2006
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4833999872,2006
Jawbone Cr,Tuolumne,0.75,2006
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.6665999889,2006
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.787800014,2006
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.74150002,2006
Fall,Yuba,0.7458999753,2006
Haypress,Yuba,0.7123000026,2006
Pauley,Yuba,0.8282999992,2006
North Yuba,Yuba,0.619599998,2006
Middle Yuba @Foote Xing,Yuba,0.747600019,2006
Rock,Yuba,0.8385000229,2006
Shady,Yuba,0.6557000279,2006
CEDEN Oregon Creek,Yuba,0.7382000089,2006
Oregon Cr (actually appears to be Millers Creek),Yuba,0.8205000162,2006
Fall Cr,Yuba,0.8302999735,2006
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7382000089,2006
CEDEN Lincoln Creek,Yuba,0.6301000118,2006
CEDEN Slate Creek (USFS),Yuba,0.6644999981,2006
DC 10 (headwaters),Yuba/Deer,0.8270000219,2006
DC 20 (Willow Valley Rd),Yuba/Deer,0.7494000196,2006
DC 26 (Little Deer Creek),Yuba/Deer,0.6994000077,2006
DC 40 (WWTP),Yuba/Deer,0.7483000159,2006
DC 80 (b4 LWW),Yuba/Deer,0.6553000212,2006
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.5667999983,2006
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5641999841,2006
EF NF American,American,0.7914000154,2007
Fulda,American,0.747699976,2007
S Fk Silver,American,0.4214999974,2007
Onion,American,0.7185999751,2007
Onion V,American,0.8151000142,2007
Traverse,American,0.4727999866,2007
CEDEN Monumental Creek,American,0.700699985,2007
Lyons Cr,American,0.5641000271,2007
Jones Fork Silver Cr,American,0.6319000125,2007
American R (Middle Fork),American,0.6873999834,2007
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.7483000159,2007
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.700699985,2007
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.6528000236,2007
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5934000015,2007
BR 10 (headwaters),Bear,0.7099999785,2007
BR 22 (Steephollow),Bear,0.7354000211,2007
BR 55 (Dry Creek Spenceville),Bear,0.2980000079,2007
Above Jackrabbit Bridge,Burney Cr,0.6564999819,2007
Cat,Cosumnes,0.7601000071,2007
Cosumnes,Cosumnes,0.7861999869,2007
Consumnes R (North Fork),Cosumnes,0.7189000249,2007
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7366999984,2007
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6528000236,2007
Below Twin Bridges CG,Hat Cr,0.6205000281,2007
Above Moose Camp,Hatchet Cr,0.7111999989,2007
Below Lassen Cr C.G.,LassenCr,0.58950001,2007
Nelson,MF Feather,0.8332999945,2007
EF Nelson,MF Feather,0.7287999988,2007
Cascade Cr,MF Feather,0.8621000051,2007
Sulfur Cr,MF Feather,0.5971999764,2007
Jameson Cr,MF Feather,0.755400002,2007
Onion Valley Cr,MF Feather,0.8514999747,2007
Poplar Cr,MF Feather,0.6962000132,2007
Nelson Cr,MF Feather,0.8156999946,2007
McCloud,McCloud,0.7174999714,2007
Moosehead,McCloud,0.8391000032,2007
OC 10 (Oregon Creek),Middle Yuba,0.7570000291,2007
Warner,NF Feather,0.6007999778,2007
Grassy Swale,NF Feather,0.7210999727,2007
Meadow Valley Cr,NF Feather,0.5825999975,2007
Spanish Cr,NF Feather,0.6570000052,2007
Wolf Cr,NF Feather,0.6166999936,2007
Butt Cr,NF Feather,0.6000000238,2007
Feather R (North Fork),NF Feather,0.6866000295,2007
Below Jess Valley Bridge,Pit R (South Fork),0.331099987,2007
Butte,Sacramento,0.7495999932,2007
Willow Butte,Sacramento,0.7028999925,2007
Deer Cr,Sacramento,0.8076000214,2007
Mill Cr,Sacramento,0.7135999799,2007
Martin Cr,Sacramento,0.5874999762,2007
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.5904999971,2007
Clark Fork of Stanislaus R,Stanislaus,0.5889999866,2007
Arnot Cr,Stanislaus,0.6330999732,2007
CEDEN Arnot Cr 1,Stanislaus,0.6906999946,2007
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4988000095,2007
Jawbone Cr,Tuolumne,0.7286000252,2007
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.6414999962,2007
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.8030999899,2007
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.726000011,2007
Fall,Yuba,0.7454000115,2007
Haypress,Yuba,0.7695999742,2007
Pauley,Yuba,0.8519999981,2007
North Yuba,Yuba,0.6866999865,2007
Middle Yuba @Foote Xing,Yuba,0.8003000021,2007
Rock,Yuba,0.851000011,2007
Shady,Yuba,0.7506999969,2007
CEDEN Oregon Creek,Yuba,0.8001999855,2007
Oregon Cr (actually appears to be Millers Creek),Yuba,0.837100029,2007
Fall Cr,Yuba,0.8715000153,2007
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.8001999855,2007
CEDEN Lincoln Creek,Yuba,0.6216999888,2007
CEDEN Slate Creek (USFS),Yuba,0.7056000233,2007
DC 10 (headwaters),Yuba/Deer,0.861100018,2007
DC 20 (Willow Valley Rd),Yuba/Deer,0.804099977,2007
DC 26 (Little Deer Creek),Yuba/Deer,0.7360000014,2007
DC 40 (WWTP),Yuba/Deer,0.7811999917,2007
DC 80 (b4 LWW),Yuba/Deer,0.605799973,2007
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.6144000292,2007
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5798000097,2007
EF NF American,American,0.8152999878,2008
Fulda,American,0.7024999857,2008
S Fk Silver,American,0.4555999935,2008
Onion,American,0.7050999999,2008
Onion V,American,0.810199976,2008
Traverse,American,0.5231999755,2008
CEDEN Monumental Creek,American,0.753000021,2008
Lyons Cr,American,0.5453000069,2008
Jones Fork Silver Cr,American,0.6723999977,2008
American R (Middle Fork),American,0.684499979,2008
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.733799994,2008
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.753000021,2008
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.6301000118,2008
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5444999933,2008
BR 10 (headwaters),Bear,0.7092999816,2008
BR 22 (Steephollow),Bear,0.7375000119,2008
BR 55 (Dry Creek Spenceville),Bear,0.3389999866,2008
Above Jackrabbit Bridge,Burney Cr,0.7328000069,2008
Cat,Cosumnes,0.768599987,2008
Cosumnes,Cosumnes,0.7976999879,2008
Consumnes R (North Fork),Cosumnes,0.7131000161,2008
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7372000217,2008
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.5939999819,2008
Below Twin Bridges CG,Hat Cr,0.7383999825,2008
Above Moose Camp,Hatchet Cr,0.7049000263,2008
Below Lassen Cr C.G.,LassenCr,0.6784999967,2008
Nelson,MF Feather,0.7637000084,2008
EF Nelson,MF Feather,0.6456000209,2008
Cascade Cr,MF Feather,0.8316000104,2008
Sulfur Cr,MF Feather,0.6175000072,2008
Jameson Cr,MF Feather,0.7379999757,2008
Onion Valley Cr,MF Feather,0.8084999919,2008
Poplar Cr,MF Feather,0.5997999907,2008
Nelson Cr,MF Feather,0.7508000135,2008
McCloud,McCloud,0.7825000286,2008
Moosehead,McCloud,0.8130999804,2008
OC 10 (Oregon Creek),Middle Yuba,0.7156999707,2008
Warner,NF Feather,0.6377000213,2008
Grassy Swale,NF Feather,0.6916999817,2008
Meadow Valley Cr,NF Feather,0.5002999902,2008
Spanish Cr,NF Feather,0.6313999891,2008
Wolf Cr,NF Feather,0.581099987,2008
Butt Cr,NF Feather,0.6140999794,2008
Feather R (North Fork),NF Feather,0.6154999733,2008
Below Jess Valley Bridge,Pit R (South Fork),0.3833999932,2008
Butte,Sacramento,0.7178000212,2008
Willow Butte,Sacramento,0.6977999806,2008
Deer Cr,Sacramento,0.7642999887,2008
Mill Cr,Sacramento,0.7167999744,2008
Martin Cr,Sacramento,0.5485000014,2008
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.6606000066,2008
Clark Fork of Stanislaus R,Stanislaus,0.5630000234,2008
Arnot Cr,Stanislaus,0.7179999948,2008
CEDEN Arnot Cr 1,Stanislaus,0.7179999948,2008
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4815999866,2008
Jawbone Cr,Tuolumne,0.7402999997,2008
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.725300014,2008
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.8003000021,2008
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.7150999904,2008
Fall,Yuba,0.7559999824,2008
Haypress,Yuba,0.7655000091,2008
Pauley,Yuba,0.7872999907,2008
North Yuba,Yuba,0.6535000205,2008
Middle Yuba @Foote Xing,Yuba,0.7653999925,2008
Rock,Yuba,0.8281000257,2008
Shady,Yuba,0.6315000057,2008
CEDEN Oregon Creek,Yuba,0.7725999951,2008
Oregon Cr (actually appears to be Millers Creek),Yuba,0.8030999899,2008
Fall Cr,Yuba,0.8421000242,2008
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7725999951,2008
CEDEN Lincoln Creek,Yuba,0.5899000168,2008
CEDEN Slate Creek (USFS),Yuba,0.6557000279,2008
DC 10 (headwaters),Yuba/Deer,0.8357999921,2008
DC 20 (Willow Valley Rd),Yuba/Deer,0.793900013,2008
DC 26 (Little Deer Creek),Yuba/Deer,0.7166000009,2008
DC 40 (WWTP),Yuba/Deer,0.7552000284,2008
DC 80 (b4 LWW),Yuba/Deer,0.6570000052,2008
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.5981000066,2008
DC 110 (Deer Creek Ranch),Yuba/Deer,0.6108000278,2008
EF NF American,American,0.793299973,2009
Fulda,American,0.7749000192,2009
S Fk Silver,American,0.4894999862,2009
Onion,American,0.6974999905,2009
Onion V,American,0.8104000092,2009
Traverse,American,0.4893000126,2009
CEDEN Monumental Creek,American,0.6847000122,2009
Lyons Cr,American,0.5662000179,2009
Jones Fork Silver Cr,American,0.6456999779,2009
American R (Middle Fork),American,0.6825000048,2009
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.7416999936,2009
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.6847000122,2009
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.6039000154,2009
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.543900013,2009
BR 10 (headwaters),Bear,0.7153999805,2009
BR 22 (Steephollow),Bear,0.6668999791,2009
BR 55 (Dry Creek Spenceville),Bear,0.331400007,2009
Above Jackrabbit Bridge,Burney Cr,0.6615999937,2009
Cat,Cosumnes,0.7408000231,2009
Cosumnes,Cosumnes,0.8129000068,2009
Consumnes R (North Fork),Cosumnes,0.7010999918,2009
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7972999811,2009
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.635800004,2009
Below Twin Bridges CG,Hat Cr,0.5950000286,2009
Above Moose Camp,Hatchet Cr,0.7457000017,2009
Below Lassen Cr C.G.,LassenCr,0.5985999703,2009
Nelson,MF Feather,0.7907999754,2009
EF Nelson,MF Feather,0.7300000191,2009
Cascade Cr,MF Feather,0.8321999907,2009
Sulfur Cr,MF Feather,0.5885999799,2009
Jameson Cr,MF Feather,0.7559000254,2009
Onion Valley Cr,MF Feather,0.8130000234,2009
Poplar Cr,MF Feather,0.6901999712,2009
Nelson Cr,MF Feather,0.7639999986,2009
McCloud,McCloud,0.7300000191,2009
Moosehead,McCloud,0.8023999929,2009
OC 10 (Oregon Creek),Middle Yuba,0.7567999959,2009
Warner,NF Feather,0.5798000097,2009
Grassy Swale,NF Feather,0.6690000296,2009
Meadow Valley Cr,NF Feather,0.6205999851,2009
Spanish Cr,NF Feather,0.6208999753,2009
Wolf Cr,NF Feather,0.6462000012,2009
Butt Cr,NF Feather,0.6187999845,2009
Feather R (North Fork),NF Feather,0.6288999915,2009
Below Jess Valley Bridge,Pit R (South Fork),0.3535999954,2009
Butte,Sacramento,0.736100018,2009
Willow Butte,Sacramento,0.6901000142,2009
Deer Cr,Sacramento,0.7689999938,2009
Mill Cr,Sacramento,0.7002000213,2009
Martin Cr,Sacramento,0.5588999987,2009
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.6861000061,2009
Clark Fork of Stanislaus R,Stanislaus,0.5849999785,2009
Arnot Cr,Stanislaus,0.6668999791,2009
CEDEN Arnot Cr 1,Stanislaus,0.71450001,2009
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4674000144,2009
Jawbone Cr,Tuolumne,0.7882000208,2009
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.725399971,2009
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.80400002,2009
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.7186999917,2009
Fall,Yuba,0.7182999849,2009
Haypress,Yuba,0.7598000169,2009
Pauley,Yuba,0.847299993,2009
North Yuba,Yuba,0.7178999782,2009
Middle Yuba @Foote Xing,Yuba,0.7911999822,2009
Rock,Yuba,0.8180000186,2009
Shady,Yuba,0.6590999961,2009
CEDEN Oregon Creek,Yuba,0.7727000117,2009
Oregon Cr (actually appears to be Millers Creek),Yuba,0.8161000013,2009
Fall Cr,Yuba,0.8292999864,2009
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7727000117,2009
CEDEN Lincoln Creek,Yuba,0.5728999972,2009
CEDEN Slate Creek (USFS),Yuba,0.6773999929,2009
DC 10 (headwaters),Yuba/Deer,0.8421999812,2009
DC 20 (Willow Valley Rd),Yuba/Deer,0.7245000005,2009
DC 26 (Little Deer Creek),Yuba/Deer,0.6891000271,2009
DC 40 (WWTP),Yuba/Deer,0.7606999874,2009
DC 80 (b4 LWW),Yuba/Deer,0.6406000257,2009
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.6276000142,2009
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5975999832,2009
EF NF American,American,0.8350999951,2010
Fulda,American,0.7463999987,2010
S Fk Silver,American,0.4767000079,2010
Onion,American,0.6877999902,2010
Onion V,American,0.8149999976,2010
Traverse,American,0.4878000021,2010
CEDEN Monumental Creek,American,0.7319999933,2010
Lyons Cr,American,0.6302000284,2010
Jones Fork Silver Cr,American,0.7156999707,2010
American R (Middle Fork),American,0.7275999784,2010
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.78549999,2010
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.7319999933,2010
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.5781999826,2010
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5083000064,2010
BR 10 (headwaters),Bear,0.7475000024,2010
BR 22 (Steephollow),Bear,0.6775000095,2010
BR 55 (Dry Creek Spenceville),Bear,0.3580000103,2010
Above Jackrabbit Bridge,Burney Cr,0.6772000194,2010
Cat,Cosumnes,0.7820000052,2010
Cosumnes,Cosumnes,0.8432999849,2010
Consumnes R (North Fork),Cosumnes,0.7089999914,2010
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.787899971,2010
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6270999908,2010
Below Twin Bridges CG,Hat Cr,0.5004000068,2010
Above Moose Camp,Hatchet Cr,0.7865999937,2010
Below Lassen Cr C.G.,LassenCr,0.6194999814,2010
Nelson,MF Feather,0.7929000258,2010
EF Nelson,MF Feather,0.7386000156,2010
Cascade Cr,MF Feather,0.8381999731,2010
Sulfur Cr,MF Feather,0.5606999993,2010
Jameson Cr,MF Feather,0.7520999908,2010
Onion Valley Cr,MF Feather,0.8183000088,2010
Poplar Cr,MF Feather,0.6751999855,2010
Nelson Cr,MF Feather,0.7677999735,2010
McCloud,McCloud,0.74150002,2010
Moosehead,McCloud,0.8521000147,2010
OC 10 (Oregon Creek),Middle Yuba,0.7775999904,2010
Warner,NF Feather,0.5947999954,2010
Grassy Swale,NF Feather,0.6661000252,2010
Meadow Valley Cr,NF Feather,0.6317999959,2010
Spanish Cr,NF Feather,0.5978000164,2010
Wolf Cr,NF Feather,0.5832999945,2010
Butt Cr,NF Feather,0.6269000173,2010
Feather R (North Fork),NF Feather,0.6748999953,2010
Below Jess Valley Bridge,Pit R (South Fork),0.3481000066,2010
Butte,Sacramento,0.7396000028,2010
Willow Butte,Sacramento,0.7110999823,2010
Deer Cr,Sacramento,0.7688999772,2010
Mill Cr,Sacramento,0.6930000186,2010
Martin Cr,Sacramento,0.5996000171,2010
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.6402000189,2010
Clark Fork of Stanislaus R,Stanislaus,0.5924000144,2010
Arnot Cr,Stanislaus,0.6765999794,2010
CEDEN Arnot Cr 1,Stanislaus,0.6822999716,2010
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4503000081,2010
Jawbone Cr,Tuolumne,0.7706999779,2010
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.7463999987,2010
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.7785999775,2010
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.6981999874,2010
Fall,Yuba,0.6912000179,2010
Haypress,Yuba,0.7663999796,2010
Pauley,Yuba,0.8173999786,2010
North Yuba,Yuba,0.6423000097,2010
Middle Yuba @Foote Xing,Yuba,0.7843999863,2010
Rock,Yuba,0.8420000076,2010
Shady,Yuba,0.5942999721,2010
CEDEN Oregon Creek,Yuba,0.7785999775,2010
Oregon Cr (actually appears to be Millers Creek),Yuba,0.825600028,2010
Fall Cr,Yuba,0.8334000111,2010
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7785999775,2010
CEDEN Lincoln Creek,Yuba,0.6542000175,2010
CEDEN Slate Creek (USFS),Yuba,0.6927999854,2010
DC 10 (headwaters),Yuba/Deer,0.8464999795,2010
DC 20 (Willow Valley Rd),Yuba/Deer,0.7822999954,2010
DC 26 (Little Deer Creek),Yuba/Deer,0.689800024,2010
DC 40 (WWTP),Yuba/Deer,0.7853000164,2010
DC 80 (b4 LWW),Yuba/Deer,0.6613000035,2010
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.6180999875,2010
DC 110 (Deer Creek Ranch),Yuba/Deer,0.6121000051,2010
EF NF American,American,0.8266000152,2011
Fulda,American,0.8145999908,2011
S Fk Silver,American,0.5458999872,2011
Onion,American,0.7400000095,2011
Onion V,American,0.8266999722,2011
Traverse,American,0.5489000082,2011
CEDEN Monumental Creek,American,0.7343000174,2011
Lyons Cr,American,0.6837000251,2011
Jones Fork Silver Cr,American,0.6714000106,2011
American R (Middle Fork),American,0.7671999931,2011
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.7863000035,2011
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.7343000174,2011
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.6392999887,2011
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.567900002,2011
BR 10 (headwaters),Bear,0.7666000128,2011
BR 22 (Steephollow),Bear,0.7192000151,2011
BR 55 (Dry Creek Spenceville),Bear,0.3350000083,2011
Above Jackrabbit Bridge,Burney Cr,0.6833000183,2011
Cat,Cosumnes,0.7990999818,2011
Cosumnes,Cosumnes,0.8568999767,2011
Consumnes R (North Fork),Cosumnes,0.7512999773,2011
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7810999751,2011
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.7092999816,2011
Below Twin Bridges CG,Hat Cr,0.518599987,2011
Above Moose Camp,Hatchet Cr,0.7957999706,2011
Below Lassen Cr C.G.,LassenCr,0.6420999765,2011
Nelson,MF Feather,0.8173999786,2011
EF Nelson,MF Feather,0.7595999837,2011
Cascade Cr,MF Feather,0.8542000055,2011
Sulfur Cr,MF Feather,0.6668999791,2011
Jameson Cr,MF Feather,0.8051000237,2011
Onion Valley Cr,MF Feather,0.852699995,2011
Poplar Cr,MF Feather,0.6711000204,2011
Nelson Cr,MF Feather,0.8159000278,2011
McCloud,McCloud,0.7628999949,2011
Moosehead,McCloud,0.8723999858,2011
OC 10 (Oregon Creek),Middle Yuba,0.7454000115,2011
Warner,NF Feather,0.6154000163,2011
Grassy Swale,NF Feather,0.7167999744,2011
Meadow Valley Cr,NF Feather,0.6299999952,2011
Spanish Cr,NF Feather,0.6545000076,2011
Wolf Cr,NF Feather,0.6963999867,2011
Butt Cr,NF Feather,0.6827999949,2011
Feather R (North Fork),NF Feather,0.689899981,2011
Below Jess Valley Bridge,Pit R (South Fork),0.405400008,2011
Butte,Sacramento,0.7760999799,2011
Willow Butte,Sacramento,0.7278000116,2011
Deer Cr,Sacramento,0.8249999881,2011
Mill Cr,Sacramento,0.6970999837,2011
Martin Cr,Sacramento,0.5634999871,2011
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.6578999758,2011
Clark Fork of Stanislaus R,Stanislaus,0.6126000285,2011
Arnot Cr,Stanislaus,0.6761000156,2011
CEDEN Arnot Cr 1,Stanislaus,0.7192000151,2011
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4873000085,2011
Jawbone Cr,Tuolumne,0.7935000062,2011
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.7660999894,2011
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.6897000074,2011
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.7473000288,2011
Fall,Yuba,0.7597000003,2011
Haypress,Yuba,0.7624999881,2011
Pauley,Yuba,0.8313999772,2011
North Yuba,Yuba,0.8072000146,2011
Middle Yuba @Foote Xing,Yuba,0.7781999707,2011
Rock,Yuba,0.867299974,2011
Shady,Yuba,0.6521000266,2011
CEDEN Oregon Creek,Yuba,0.7965000272,2011
Oregon Cr (actually appears to be Millers Creek),Yuba,0.8446000218,2011
Fall Cr,Yuba,0.8546000123,2011
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7965000272,2011
CEDEN Lincoln Creek,Yuba,0.649600029,2011
CEDEN Slate Creek (USFS),Yuba,0.7386000156,2011
DC 10 (headwaters),Yuba/Deer,0.8598999977,2011
DC 20 (Willow Valley Rd),Yuba/Deer,0.7749999762,2011
DC 26 (Little Deer Creek),Yuba/Deer,0.7135999799,2011
DC 40 (WWTP),Yuba/Deer,0.7843999863,2011
DC 80 (b4 LWW),Yuba/Deer,0.6998000145,2011
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.6385999918,2011
